City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Zhigansk,RU,2021-09-20 02:59:00,66.7697,123.3711,37.17,60,16,10.63
213,Vallenar,CL,2021-09-20 02:59:00,-28.5708,-70.7581,58.53,56,0,3.09
214,Cheboksary,RU,2021-09-20 02:59:01,56.1322,47.2519,30.79,100,0,2.24
215,Wismar,DE,2021-09-20 02:59:01,53.9,11.4667,53.26,79,91,7.2
216,Tadine,NC,2021-09-20 02:59:02,-21.55,167.8833,72.43,56,19,14.94
217,Haukipudas,FI,2021-09-20 02:59:02,65.1765,25.3523,41.05,91,99,7.02
218,Maarianhamina,AX,2021-09-20 02:59:03,60.0973,19.9348,42.66,81,75,6.91
219,Natchitoches,US,2021-09-20 02:59:03,31.7668,-93.1335,73.38,100,1,0.0
220,Palmer,US,2021-09-20 02:59:04,42.1584,-72.3287,59.63,81,0,2.08
221,Sandpoint,US,2021-09-20 02:59:04,48.2766,-116.5533,50.45,92,1,0.0
222,Hami,CN,2021-09-20 02:55:06,42.8,93.45,83.19,13,2,4.54
223,Pisco,PE,2021-09-20 02:59:05,-13.7,-76.2167,60.85,82,75,12.66
224,Bose,IT,2021-09-20 02:59:05,45.4612,8.0137,56.3,87,24,4.85
225,Pirae,PF,2021-09-20 02:59:06,-17.5167,-149.5333,80.62,54,75,17.27
226,Port Said,EG,2021-09-20 02:59:06,31.2565,32.2841,76.98,83,0,9.22
227,Sahuaripa,MX,2021-09-20 02:59:07,29.05,-109.2333,72.16,90,56,7.05
228,Seoul,KR,2021-09-20 02:57:00,37.5683,126.9778,79.21,53,0,10.36
229,Ossora,RU,2021-09-20 02:59:07,59.2353,163.0719,52.2,83,71,14.36
230,Felanitx,ES,2021-09-20 02:59:08,39.4696,3.1483,67.14,78,1,1.41
231,Mahanoro,MG,2021-09-20 02:59:08,-19.9,48.8,66.29,86,100,1.07
232,Sibolga,ID,2021-09-20 02:59:09,1.7427,98.7792,82.69,61,92,0.78
233,New Norfolk,AU,2021-09-20 02:55:03,-42.7826,147.0587,52.92,69,49,4.0
234,Gat,IL,2021-09-20 02:57:03,31.61,34.7642,78.4,71,0,3.94
235,Faanui,PF,2021-09-20 02:55:06,-16.4833,-151.75,78.53,74,71,17.67
236,Schrobenhausen,DE,2021-09-20 02:59:10,48.55,11.2667,54.72,82,100,0.0
237,Marzuq,YE,2021-09-20 02:59:12,14.4,46.4667,75.74,41,54,0.72
238,Hualmay,PE,2021-09-20 02:59:13,-11.0964,-77.6139,60.55,81,26,10.0
239,Victoria,HK,2021-09-20 02:59:05,22.2855,114.1577,87.85,83,14,5.97
240,Roald,NO,2021-09-20 02:59:14,62.5833,6.1333,59.16,94,90,5.75
241,Plettenberg Bay,ZA,2021-09-20 02:59:15,-34.0527,23.3716,55.51,85,34,3.4
242,Contamana,PE,2021-09-20 02:59:16,-7.3333,-75.0167,79.84,56,40,1.79
243,Havoysund,NO,2021-09-20 02:59:17,70.9963,24.6622,47.28,74,100,12.88
244,Saint Anthony,US,2021-09-20 02:56:25,45.0205,-93.218,80.91,61,40,7.0
245,Ancud,CL,2021-09-20 02:54:58,-41.8697,-73.8203,45.43,88,30,4.74
246,Buerarema,BR,2021-09-20 02:59:17,-14.9594,-39.2997,63.72,98,32,0.6
247,Kwinana,AU,2021-09-20 02:59:19,-32.25,115.7667,64.31,54,0,1.01
248,Cubuk,TR,2021-09-20 02:59:19,40.2386,33.0322,58.96,82,75,3.44
249,Champerico,GT,2021-09-20 02:59:20,14.3,-91.9167,81.36,80,100,1.63
250,Lethem,GY,2021-09-20 02:59:20,3.3803,-59.7968,76.28,82,100,6.24
251,Port Lincoln,AU,2021-09-20 02:59:21,-34.7333,135.8667,54.25,58,100,25.03
252,Makakilo City,US,2021-09-20 02:59:21,21.3469,-158.0858,79.68,73,41,19.04
253,Shimoda,JP,2021-09-20 02:59:22,34.6667,138.95,77.36,55,0,15.86
254,Lata,PT,2021-09-20 02:59:22,40.1629,-8.3327,61.21,95,32,2.68
255,Hervey Bay,AU,2021-09-20 02:59:04,-25.2986,152.8535,80.04,68,0,12.41
256,Noumea,NC,2021-09-20 02:59:23,-22.2763,166.4572,76.98,56,3,20.51
257,Chara,RU,2021-09-20 02:59:24,56.9064,118.2631,55.45,50,48,1.59
258,Wawa,NG,2021-09-20 02:59:24,9.9022,4.4192,73.71,94,76,6.29
259,Nelson Bay,AU,2021-09-20 02:59:25,-32.7167,152.15,79.29,34,0,1.99
260,Hobyo,SO,2021-09-20 02:56:16,5.3505,48.5268,77.11,83,32,21.16
261,Okhotsk,RU,2021-09-20 02:59:25,59.3833,143.3,52.5,55,100,7.52
262,Karratha,AU,2021-09-20 02:59:26,-20.7377,116.8463,90.23,13,24,23.22
263,Trelew,AR,2021-09-20 02:59:27,-43.249,-65.3051,51.76,47,3,3.42
264,Port Hueneme,US,2021-09-20 02:57:18,34.1478,-119.1951,75.15,83,3,3.65
265,Skibbereen,IE,2021-09-20 02:59:27,51.55,-9.2667,57.0,93,55,9.53
266,Ilebo,CD,2021-09-20 02:59:28,-4.3167,20.5833,67.64,89,100,1.01
267,Ahuimanu,US,2021-09-20 02:59:28,21.4447,-157.8378,80.85,73,70,17.78
268,High Prairie,CA,2021-09-20 02:59:29,55.4334,-116.4858,47.5,80,80,5.55
269,Cururupu,BR,2021-09-20 02:59:29,-1.8283,-44.8683,74.12,89,100,3.33
270,Omboue,GA,2021-09-20 02:59:30,-1.5746,9.2618,74.79,85,100,3.36
271,Dzilam Gonzalez,MX,2021-09-20 02:59:30,21.2833,-88.9333,79.59,79,51,6.4
272,Geraldton,AU,2021-09-20 02:59:30,-28.7667,114.6,75.61,38,0,20.71
273,Beringovskiy,RU,2021-09-20 02:54:55,63.05,179.3167,35.58,87,100,3.36
274,Isiro,CD,2021-09-20 02:59:31,2.7739,27.616,64.63,100,99,2.13
275,Brownwood,US,2021-09-20 02:59:31,31.7093,-98.9912,83.97,44,1,0.0
276,Marondera,ZW,2021-09-20 02:59:32,-18.1853,31.5519,44.94,81,0,3.94
277,Botou,CN,2021-09-20 02:59:32,38.0667,116.5667,61.5,91,100,18.03
278,Tam Ky,VN,2021-09-20 02:59:33,15.5667,108.4833,85.98,78,100,3.83
279,Katobu,ID,2021-09-20 02:59:33,-4.9408,122.5276,74.61,93,100,5.03
280,Novobiryusinskiy,RU,2021-09-20 02:59:34,56.9578,97.7076,55.45,87,100,3.58
281,Hambantota,LK,2021-09-20 02:59:34,6.1241,81.1185,82.74,94,20,6.91
282,Terney,RU,2021-09-20 02:59:35,45.0503,136.6092,66.97,37,41,4.16
283,Mildura,AU,2021-09-20 02:59:35,-34.2,142.15,61.07,36,75,16.11
284,Tevaitoa,PF,2021-09-20 02:59:36,-16.7833,-151.5,78.71,72,39,17.74
285,Vaitape,PF,2021-09-20 02:59:37,-16.5167,-151.75,78.53,74,69,17.74
286,Bar Harbor,US,2021-09-20 02:59:37,44.3876,-68.2039,57.85,75,0,5.01
287,Aksaray,TR,2021-09-20 02:59:38,38.3726,34.0254,56.79,57,12,3.31
288,Kurilsk,RU,2021-09-20 02:59:38,45.2333,147.8833,57.33,59,0,10.11
289,Provideniya,RU,2021-09-20 02:59:38,64.3833,-173.3,37.51,48,40,13.42
290,Japura,ID,2021-09-20 02:59:39,-0.3167,102.35,87.93,58,23,1.52
291,Vao,NC,2021-09-20 02:56:19,-22.6667,167.4833,67.69,67,83,16.53
292,Qaqortoq,GL,2021-09-20 02:59:40,60.7167,-46.0333,36.64,86,48,2.98
